posted_x,Worst 3 Games
2010,"Puesto 1: Civilization IV: Beyond the Sword, Puesto 2: Empire: Total War™, Puesto 3: IL-2 Sturmovik: 1946, para el año 2010"
2011,"Puesto 1: And Yet It Moves, Puesto 2: Men of War: Vietnam, Puesto 3: Steam Greenlight N 24500, para el año 2011"
2012,"Puesto 1: The Kings' Crusade, Puesto 2: Resident Evil: Operation Raccoon City, Puesto 3: Jagged Alliance - Back in Action, para el año 2012"
2013,"Puesto 1: Iron Warriors: T - 72 Tank Command, Puesto 2: Port Royale 2, Puesto 3: Steam Greenlight N 17020, para el año 2013"
2014,"Puesto 1: Steam Greenlight N 220050, Puesto 2: X Rebirth, Puesto 3: Steam Greenlight N 96300, para el año 2014"
2015,"Puesto 1: Steam Greenlight N 220050, Puesto 2: Steam Greenlight N 331710, Puesto 3: NBA 2K16, para el año 2015"
